S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
101,Bharuch,HANSOT,Utraj,8.09,800,536,190,32,26,106,1.8,0,439,35,3,6,0.68,360,0.069
102,Bharuch,Valia,Chiklata,7.77,860,576,290,52,38,67,0.4,0,390,57,35,4,0.8,320,0.025
103,Bharuch,Valia,Temroloya,7.82,562,377,190,68,5,60,1.5,0,281,43,26,6,0.4,230,0.612
104,Bhavnagar,Vallabhipur,Ayodhyapuram(Narayan dham),8.28,4850,3250,220,56,19,1061,1.0,0,1464,866,11,66,4.4,1200,0.0
105,Bhavnagar,BHAVNAGAR,Bhavnagar1,8.28,902,604,180,16,32,155,0.3,0,317,142,14,40,0.47,260,0.0
106,Bhavnagar,BHAVNAGAR,Bhumbhali,8.01,5461,3659,1200,120,219,687,19.8,0,390,1385,12,369,0.56,320,0.081
107,Bhavnagar,Mahuva,Bora,8.28,1433,960,50,12,7,320,1.8,0,671,85,40,35,2.2,550,0.0
108,Bhavnagar,TALAJA,Datha,7.96,4209,2820,480,48,88,756,4.8,0,293,1221,4,128,1.08,240,0.197
109,Bhavnagar,GADHADA,Dhasa,8.07,514,344,230,52,24,18,12.3,0,244,36,18,3,0.0,200,1.395
110,Bhavnagar,MAHUVA,Dudhala,8.01,1699,1138,460,56,78,175,2.8,0,403,270,120,25,0.75,330,2.07
111,Bhavnagar,GADHADA,Gadhada2,8.17,744,498,250,96,15,68,1.6,0,329,57,20,29,0.28,270,0.0
112,Bhavnagar,GARIADHAR,Gariyadhar,7.95,1987,1331,600,96,88,180,3.4,0,232,405,70,158,0.55,190,0.0
113,Bhavnagar,GHOGHA,Ghogha,8.19,4256,2852,400,32,78,762,63.2,0,488,909,300,110,0.38,400,0.137
114,Bhavnagar,PALITANA,Khijadiya,8.7,1195,801,70,12,10,242,0.3,120,122,142,7,81,1.2,300,0.0
115,Bhavnagar,Talaja,Kundheli,8.28,296,198,120,24,15,23,2.3,0,146,21,3,16,0.35,120,0.031
116,Bhavnagar,MAHUVA,Longadi,8.12,667,447,110,16,17,100,22.2,0,281,64,4,1,0.54,230,0.0
117,Bhavnagar,MAHUVA,Mahuva,8.28,2990,2003,160,40,15,620,1.4,0,854,540,37,3,1.23,700,0.0
118,Bhavnagar,MAHUVA,Motivadal,7.99,1171,785,400,48,68,97,6.2,0,329,149,95,49,0.28,270,0.06
119,Bhavnagar,GADHADA,Ningala,8.27,1150,771,110,24,12,225,1.7,0,476,114,20,27,0.75,390,0.0
120,Bhavnagar,PALITANA,Panchpipla,7.96,921,617,190,32,27,124,0.1,0,366,78,36,17,0.65,300,0.028
121,Bhavnagar,VALLABHIPUR,Panvi1,8.28,2129,1426,120,24,15,465,9.6,0,976,199,12,29,2.72,800,0.031
122,Bhavnagar,PALITANA,Sajnasar,8.11,1145,767,450,136,27,77,10.8,0,476,114,30,37,0.75,390,0.424
123,Bhavnagar,SIHOR,Sandhida,8.13,555,372,220,28,36,36,2.4,0,268,43,15,4,0.35,220,0.101
124,Bhavnagar,MAHUVA,Shantinagar,8.13,2358,1580,940,184,117,135,10.9,0,610,355,38,187,0.31,500,0.439
125,Bhavnagar,TALAJA,Talaja2,8.02,1314,880,490,32,88,105,0.5,0,281,249,66,75,0.38,230,0.0
126,Bhavnagar,BOTAD,Tardhera,8.21,2052,1375,680,176,56,220,2.0,0,73,660,64,99,0.15,60,0.156
127,Bhavnagar,GADHADA,Tatam,7.33,10930,7323,4450,540,754,450,59.8,0,195,3089,575,374,0.97,160,0.486
128,Bhavnagar,UMRALA,Timbi2,8.21,293,196,100,28,7,23,4.0,0,122,28,7,3,0.33,100,0.211
129,Bhavnagar,TALAJA,Trapaj,8.16,1498,1004,650,16,148,67,25.0,0,610,170,31,26,0.2,500,0.53
130,Bhavnagar,Vallabhipur,Vallbhipur,8.18,545,365,100,24,10,80,2.2,0,159,78,6,25,0.57,130,0.889
131,Bhavnagar,Ghogha,Vavdi,8.28,756,507,260,20,51,62,0.8,0,281,78,33,24,0.54,230,0.092
132,Daman,Daman,Dabhel,7.97,1297,869,370,76,44,135,0.4,0,488,171,3,15,0.33,400,3.169
133,Daman,Daman,Dalwada,8.07,752,504,230,44,29,80,2.2,0,378,43,31,7,0.0,310,0.534
