S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
1,Ahmedabad,BARWALA,Barvala,8.25,5090.0,3410.0,450.0,80.0,60.0,937.0,0.3,0.0,891.0,959.0,24.0,346.0,2.8,730.0,0.033
2,Ahmedabad,DHANDHUKA,Dhandhuka1,8.23,14210.0,9521.0,1300.0,180.0,207.0,3220.0,9.9,0.0,1013.0,3373.0,1600.0,1290.0,6.64,830.0,0.641
3,Ahmedabad,VIRAMGAM,Endla,8.17,685.0,459.0,220.0,52.0,22.0,49.0,13.6,0.0,305.0,50.0,2.0,2.0,0.44,250.0,0.0
4,Ahmedabad,VIRAMGAM,Kumarkhan,8.19,10660.0,7142.0,800.0,140.0,109.0,1875.0,7.2,0.0,988.0,2485.0,32.0,443.0,11.2,810.0,0.082
5,Ahmedabad,RANPUR,Kundali,8.03,1300.0,871.0,280.0,64.0,29.0,210.0,3.7,0.0,305.0,85.0,230.0,171.0,0.5,250.0,0.0
6,Ahmedabad,MANDAL,Mandal2,8.18,4222.0,2829.0,460.0,64.0,73.0,772.0,6.1,0.0,549.0,1008.0,3.0,235.0,0.56,450.0,0.0
7,Ahmedabad,RANPUR,Rajpada,8.11,1094.0,733.0,650.0,104.0,95.0,147.0,12.8,0.0,610.0,256.0,100.0,20.0,0.89,500.0,0.161
8,Ahmedabad,DHANDHUKA,Tagadi1,8.26,3934.0,2636.0,620.0,48.0,122.0,620.0,22.8,0.0,488.0,994.0,115.0,46.0,2.8,400.0,0.016
9,Ahmedabad,MANDAL,Ughraj1,8.13,2628.0,1761.0,900.0,248.0,68.0,184.0,41.4,0.0,390.0,625.0,68.0,30.0,0.45,320.0,0.05
10,Ahmedabad,VIRAMGAM,Viramgam2,8.18,2654.0,1778.0,360.0,80.0,39.0,445.0,6.9,0.0,288.0,582.0,3.0,245.0,0.7,236.0,0.002
11,Ahmedabad,Barwala,Barla,,,,,,,,,,,,,,,,0.159
12,Amreli,AMRELI,Amreli,7.8,1132.0,758.0,340.0,56.0,49.0,129.0,0.3,0.0,268.0,156.0,56.0,127.0,0.13,220.0,1.301
13,Amreli,KUNDLA-SAVAR,Badhda,8.28,1561.0,1046.0,470.0,48.0,90.0,146.0,1.0,0.0,232.0,391.0,18.0,23.0,0.12,190.0,0.004
14,Amreli,BAGASARA,Bagasara,8.11,2401.0,1609.0,600.0,80.0,97.0,278.0,0.7,0.0,195.0,497.0,170.0,188.0,0.5,160.0,0.0
15,Amreli,KHAMBHA,Bhavardi1,7.88,946.0,634.0,290.0,32.0,51.0,77.0,3.1,0.0,293.0,71.0,41.0,79.0,0.26,240.0,0.258
16,Amreli,JAFRABAD,Bherai,8.28,3561.0,2386.0,640.0,64.0,117.0,515.0,21.1,0.0,622.0,838.0,9.0,42.0,0.43,510.0,0.133
17,Amreli,KUNDLA-SAVAR,Bhuva,8.14,11440.0,7665.0,1150.0,80.0,231.0,2354.0,68.5,0.0,854.0,3089.0,245.0,916.0,0.88,700.0,0.138
18,Amreli,DHARI,Chalala,7.62,4292.0,2876.0,1240.0,56.0,268.0,412.0,0.7,0.0,207.0,1051.0,210.0,283.0,0.15,170.0,0.962
19,Amreli,KUNDLA-SAVAR,Charkhadia1,8.47,2284.0,1530.0,120.0,40.0,5.0,477.0,3.7,192.0,647.0,156.0,35.0,50.0,1.15,850.0,0.059
20,Amreli,LATHI,Chavand,8.13,528.0,354.0,200.0,36.0,27.0,52.0,0.3,0.0,268.0,28.0,14.0,40.0,0.35,220.0,0.162
21,Amreli,DHARI,Dharangani,7.82,1690.0,1132.0,420.0,72.0,58.0,185.0,0.3,0.0,207.0,341.0,130.0,57.0,0.4,170.0,0.0
22,Amreli,KUNDLA-SAVAR,Goradka,7.72,1488.0,997.0,590.0,112.0,75.0,73.0,0.3,0.0,207.0,270.0,150.0,69.0,0.31,170.0,0.0
23,Amreli,AMRELI,Govadka,7.77,3157.0,2115.0,740.0,112.0,112.0,380.0,0.9,0.0,293.0,625.0,240.0,229.0,0.34,240.0,0.014
24,Amreli,JAFRABAD,Jafrabad,7.87,2749.0,1842.0,200.0,72.0,5.0,499.0,39.1,0.0,85.0,753.0,18.0,119.0,0.48,70.0,0.045
