S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
33,Amreli,DHARI,Morjhar,8.0,734,492,230,28,39,66,0.8,0,244,107,18,5,0.31,200,0.000
34,Amreli,JAFRABAD,Nageshri,7.55,3189,2137,1100,184,157,215,9.9,0,232,639,320,198,0.15,190,0.042
35,Amreli,KUNDLA-SAVAR,Piyava,8.28,1484,994,180,12,36,280,0.3,0,549,78,41,185,0.65,450,0.230
36,Amreli,LILIA,Punjapadar,8.42,993,665,70,24,2,189,4.7,96,256,43,8,38,1.25,370,0.382
37,Amreli,LATHI,Tajpur,8.07,332,222,130,32,12,24,2.2,0,146,28,10,13,0.2,120,1.618
38,Amreli,JAFRABAD,Timbi2,7.72,2623,1757,420,32,83,404,18.4,0,378,582,30,126,0.7,310,Leaked
39,Amreli,KHAMBHA,Trakuda,7.99,940,630,210,72,7,125,9.8,0,207,156,32,60,0.42,170,0.000
40,Amreli,BABRA,Untvad,7.85,982,658,340,76,36,72,0.5,0,183,99,225,22,0.34,150,0.070
41,Amreli,BAGASARA,Vaghania juna,7.9,1785,1196,280,40,44,276,8.4,0,500,199,115,88,0.64,410,0.097
42,Amreli,AMRELI,Vankiya,8.21,936,627,110,24,12,181,1.2,0,378,99,31,24,0.87,310,0.234
43,Amreli,RAJULA,Victor,8.92,1322,886,90,10,12,248,11.2,48,403,128,4,27,1.66,410,0.000
44,Amreli,DHARI,Virpur,8.07,1024,686,450,104,46,61,14.0,0,488,78,25,48,0.5,400,0.329
45,Amreli,Amreli,Bhilidi,7.7,1867,1251,610,96,90,169,0.4,0,207,369,190,121,0.34,170,0.234
46,Amreli,Savar Kundla,Fifad,8.28,4239,2840,360,16,78,799,0.7,0,1025,753,42,138,1.4,840,0.000
47,Amreli,Jafrabad,Hinderana(Charnara),8.28,4390,2941,180,24,29,937,11.7,0,854,937,10,160,1.52,700,0.060
48,Amreli,Savar Kundla,Hipavadli,9.24,2417,1619,280,24,54,429,0.5,192,854,85,70,10,1.45,1020,0.098
49,Amreli,Jafrabad,Kadiyali,8.05,695,466,200,60,12,79,5.0,0,232,107,6,22,0.5,190,0.103
50,Amreli,Lalia,Sanaria,7.88,7103,4759,1300,160,219,1262,0.8,0,378,1243,16,1863,1.74,310,0.194
51,Anand,ANAND,Adas_DW,7.93,1389,931,620,68,108,68,1.3,0,539,99,88,108,0.43,442,0.000
52,Anand,ANKLAV,Anklav2,8.15,1675,1122,660,64,120,112,1.5,0,744,106,50,96,0.8,610,0.000
53,Anand,PETLAD,Bandhani,8.19,1447,969,380,112,24,153,29.0,0,512,177,42,4,0.9,420,0.089
54,Anand,BORSAD,Bhadran (Utiyapara),7.88,598,401,340,76,36,21,1.5,0,281,43,5,86,0.2,230,0.208
55,Anand,Anand,Boriyavi,8.09,1442,966,390,72,50,172,25.0,0,647,135,18,25,0.1,530,0.000
56,Anand,CAMBAY,Dali,8.2,4063,2722,950,200,108,501,19.0,0,1220,674,36,42,1.38,1000,0.013
57,Anand,PETLAD,Dharmaj,8.28,2604,1745,550,120,60,400,0.7,0,1135,248,100,49,1.3,930,0.00
58,Anand,UMRETH,Ghora,7.83,1709,1145,560,188,22,150,15.0,0,525,220,36,107,0.44,430,0.029
59,Anand,CAMBAY,Kansari1,8.18,3864,2589,850,140,120,580,1.2,0,622,815,32,392,0.83,510,0.029
60,Anand,CAMBAY,Laxmipura,8.4,4580,3069,650,100,96,780,3.4,156,598,780,10,449,2.2,750,0.000
61,Anand,UMRETH,Parvata,8.05,1165,781,330,56,46,153,0.8,0,573,78,30,52,1.09,470,0.000
62,Anand,BORSAD,Ras,8.47,1487,996,150,32,12,296,4.9,234,220,135,22,5,2.74,570,0.000
63,Anand,Tarapur,Tol,8.12,667,447,240,56,24,58,5.5,0,354,42,7,8,0.68,290,0.000
64,Banaskantha,AMIRGADH,Amirgadh,8.12,3220,2157,700,120,26,370,2.7,0,549,533,84,215,0.65,450,0.144
65,Banaskantha,THARAD,Bharol1,8.15,752,504,220,68,12,68,9.9,0,329,43,4,31,0.3,270,0.061
66,Banaskantha,DANTIWADA,Dantiwada1,7.88,527,353,180,44,17,37,0.7,0,183,43,22,28,0.65,150,0.143
