S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
439.0,Sabarkantha,IDAR,Idar,8.51,1700.0,1139.0,540.0,68.0,89.0,181.0,3.7,60.0,500.0,220.0,70.0,45.0,2.4,510.0,0.043
440.0,Sabarkantha,DHANSURA,Karanpur,7.91,828.0,555.0,320.0,84.0,26.0,65.0,0.6,0.0,378.0,71.0,50.0,7.0,0.75,310.0,0.0
441.0,Sabarkantha,TALOD,Kesarpura(Mayal),7.91,1431.0,959.0,580.0,160.0,43.0,60.0,2.0,0.0,317.0,198.0,170.0,28.0,0.6,260.0,0.0
442.0,Sabarkantha,Vadoli,Kesharpura,8.58,1586.0,1063.0,230.0,36.0,34.0,290.0,1.1,72.0,561.0,128.0,65.0,36.0,3.0,580.0,0.167
443.0,Sabarkantha,KHEDBRAHMA,Khedbramha_1,7.65,3700.0,2479.0,1600.0,402.0,132.0,150.0,2.1,0.0,354.0,922.0,160.0,180.0,0.68,290.0,0.102
444.0,Sabarkantha,MALPUR,Malpur_1,8.01,910.0,610.0,480.0,96.0,58.0,24.0,0.6,0.0,342.0,57.0,105.0,80.0,0.75,280.0,0.012
445.0,Sabarkantha,HIMATNAGAR,Mathasuliya,7.86,1210.0,811.0,500.0,128.0,43.0,74.0,22.6,0.0,439.0,120.0,145.0,11.0,0.3,360.0,0.0
446.0,Sabarkantha,KHEDBRAHMA,Matoda,7.74,2980.0,1997.0,1250.0,72.0,257.0,123.0,25.0,0.0,512.0,603.0,100.0,149.0,0.2,420.0,0.082
447.0,Sabarkantha,MODASA,Medasana,7.93,1175.0,787.0,430.0,84.0,53.0,87.0,0.7,0.0,427.0,128.0,62.0,33.0,0.8,350.0,0.005
448.0,Sabarkantha,MODASA,Megraj_1,7.99,700.0,469.0,280.0,88.0,14.0,46.0,3.0,0.0,366.0,43.0,5.0,13.0,0.36,300.0,0.215
449.0,Sabarkantha,MODASA,Modasa2,7.7,1248.0,836.0,500.0,128.0,43.0,82.0,3.1,0.0,329.0,156.0,120.0,85.0,0.24,270.0,0.0
450.0,Sabarkantha,KHEDBRAHMA,Poshina2,8.19,2304.0,1544.0,950.0,200.0,108.0,129.0,6.6,0.0,854.0,213.0,34.0,189.0,0.86,700.0,0.201
451.0,Sabarkantha,BHILODA,Punasan,7.89,872.0,584.0,310.0,80.0,26.0,61.0,0.8,0.0,390.0,57.0,26.0,19.0,0.28,320.0,0.0
452.0,Sabarkantha,HIMATNAGAR,Ramgarh,7.99,3783.0,2535.0,1100.0,160.0,168.0,360.0,26.9,0.0,683.0,886.0,65.0,3.0,0.75,560.0,0.447
453.0,Sabarkantha,IDAR,Revas,7.9,1869.0,1252.0,700.0,148.0,79.0,95.0,5.6,0.0,403.0,227.0,230.0,61.0,1.0,330.0,0.013
