S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
134,Daman,Daman,Jempur,8.09,1033,692,290,56,36,112,22.2,0,512,64,12,11,0.4,420,0.293
135,Daman,Daman,Khariwad daman,8.14,1299,870,230,24,29,194,16.4,0,561,121,3,14,0.65,460,1.93
136,Daman,Daman,Warkund,7.71,1669,1118,510,60,88,158,1.0,0,512,263,40,23,0.7,420,0.164
137,Diu,DIU,Diu,8.28,3545,2375,360,40,63,635,41.2,0,561,838,0,79,0.4,460,0.0
138,Diu,DIU,Gomti Mata,8.19,4011,2687,720,56,14,583,40.0,0,476,937,175,112,0.2,390,0.103
139,Diu,DIU,Jalawali,7.54,14330,9601,4250,760,57,1674,45.2,0,134,5396,2,66,0.2,110,0.116
140,Diu,Diu,Butchwada,8.12,16770,11236,3000,320,535,2650,55.8,0,281,5645,50,407,0.7,230,0.209
141,Diu,Diu,Vichwadi,8.25,6216,4165,1800,260,280,580,55.8,0,293,1775,105,191,0.35,240,0.005
142,Dohad,Dhanpur,Ambakatch,7.92,1803,1208,540,72,86,163,7.2,0,842,128,9,10,1.2,690,0.044
143,Dohad,DEVGAD BARIA,Badpa,7.74,996,667,220,40,29,164,1.1,0,512,78,20,21,3.0,420,0.691
144,Dohad,LIMKHEDA,Dadhela,7.59,961,644,350,64,46,80,4.6,0,451,78,43,5,1.15,370,0.12
145,Dohad,DOHAD,Dahod Urban-1,7.67,1052,705,370,92,34,63,0.4,0,281,78,150,40,1.03,230,0.183
146,Dohad,DOHAD,Dahod Urban-2,7.56,2315,1551,640,104,122,210,6.6,0,500,298,170,115,1.66,410,0.293
147,Dohad,DOHAD,Dahod Urban-3,7.55,1583,1061,380,72,48,201,2.4,0,610,184,46,10,2.32,500,
148,Dohad,DOHAD,Dahod2,7.33,2454,1644,750,200,60,214,3.7,0,470,390,215,94,0.75,385,0.95
149,Dohad,DEVGAD BARIA,Devgadh Baria,7.7,990,663,320,64,38,75,2.3,0,390,85,12,29,0.87,320,0.208
150,Dohad,GARBADA,Garbara,7.91,4184,2803,1000,160,144,479,21.4,0,720,638,400,203,1.96,590,0.199
151,Dohad,JHALOD,Jhalod1,7.73,562,377,220,52,22,73,1.8,0,268,42,7,88,0.84,220,0.049
152,Dohad,DHANPUR,Kanjetha,7.86,785,526,310,72,31,60,3.2,0,451,35,9,11,0.84,370,0.081
153,Dohad,DEVGAD BARIA,Khandania,7.71,1000,670,660,76,113,43,1.5,0,378,92,20,279,2.0,310,0.0
154,Dohad,JHALOD,Limbdi,7.24,2300,1541,630,156,58,210,7.7,0,512,440,34,8,0.9,420,0.111
155,Dohad,JHALOD,Mirakhedi,7.74,957,641,380,116,22,63,1.3,0,427,64,74,13,0.9,350,0.0
156,Dohad,GARBADA,Panchwada,7.09,1219,817,430,80,55,115,3.5,0,647,92,3,12,1.15,530,2.887
157,Dohad,FATEPURA,Sarsava,7.31,805,539,360,116,17,29,7.5,0,403,35,21,23,0.8,330,1.347
158,Dohad,FATEPURA,Sukhsar,7.62,964,646,300,64,34,91,2.1,0,427,57,60,15,0.83,350,0.306
159,Dohad,DHANPUR,Tokarba,7.42,910,610,340,128,5,53,3.9,0,403,71,2,18,1.0,330,0.053
160,Dohad,DOHAD,Varamkheda,7.46,764,512,330,76,34,38,1.2,0,354,50,44,12,1.18,290,0.325
161,Dohad,LIMKHEDA,Wadia,7.44,876,587,300,52,46,82,5.6,0,403,64,48,14,1.16,330,0.706
162,Gandhinagar,DEHGAM,Paliya,8.18,2574,1725,580,56,107,258,1.8,0,464,298,144,208,0.85,380,0.363
163,Gandhinagar,GANDHINAGAR,Serthapara1,7.52,4692,3144,1300,80,268,572,62.8,0,1196,568,370,432,1.4,980,0.039
164,Jamnagar,BHANVAD,Ambardi,7.98,495,332,210,56,17,40,1.4,0,146,99,34,7,0.29,120,0.33
165,Jamnagar,JODIYA,Amran1,7.73,2469,1654,900,68,175,170,2.7,0,439,461,40,209,0.3,360,0.0
166,Jamnagar,Okhamandal,Aramda,7.75,13550,9079,3000,280,552,1800,18.5,0,281,3900,2,1062,1.25,230,0.006
167,Jamnagar,Jamjodhpur,Balwa,8.06,1062,712,380,68,50,96,0.2,0,183,156,110,121,0.26,150,0.0
