S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
338,Panchmahals,GODHRA,Godhra UR_1,7.44,1373,920,400,120,24,129,1.2,0,439,149,45,66,0.9,360,0.073
339,Panchmahals,GODHRA,Godhra UR_2,7.57,1051,704,390,112,26,53,1.6,0,390,50,41,75,1.3,320,0.144
340,Panchmahals,GODHRA,Godhra UR_3,7.84,279,187,160,40,14,11,1.7,0,146,21,2,30,0.4,120,0.116
341,Panchmahals,JAMBUGODHA,Javan,7.1,554,371,250,68,19,33,18.1,0,256,43,50,8,0.55,210,1.032
342,Panchmahals,LUNAWADA,Jokha,7.59,1253,840,430,116,34,102,10.0,0,622,78,15,15,1.2,510,0.004
343,Panchmahals,KALOL,Kalol UR_1,7.72,1504,1008,530,84,77,117,4.6,0,671,142,22,12,0.55,550,0.382
344,Panchmahals,LUNAWADA,Kantha,7.57,1063,712,330,96,34,113,1.5,0,488,99,12,21,0.9,400,0.0
345,Panchmahals,GODHRA,Khadeki,7.85,1842,1234,460,44,84,180,1.6,0,744,78,4,118,1.5,610,0.601
346,Panchmahals,KHANPUR,Khanpur,7.3,962,645,360,100,26,71,1.1,0,415,92,45,5,0.5,340,0.0
347,Panchmahals,LUNAWADA,Kothamba,7.94,2050,1374,650,140,72,185,3.1,0,586,347,62,23,0.86,480,0.3
348,Panchmahals,LUNAWADA,Limbadia peti,7.31,1050,704,380,68,50,73,1.6,0,537,57,8,8,1.05,440,0.0
349,Panchmahals,LUNAWADA,Lunawada,7.05,1254,840,430,132,24,87,16.2,0,427,149,54,11,0.55,350,0.0
350,Panchmahals,LUNAWADA,Malekpur1,7.4,800,536,320,68,36,60,3.2,0,439,50,13,6,0.75,360,0.0
351,Panchmahals,MORWA (HADAF),Natapur,7.65,800,536,300,20,60,61,2.3,0,378,50,34,19,1.66,310,0.058
352,Panchmahals,HALOL,Pavagadh,7.57,1004,673,490,132,38,38,1.9,0,488,99,21,13,0.37,400,0.168
353,Panchmahals,GHOGHAMBA,Ranipura,7.76,2134,1430,730,96,118,144,4.2,0,537,340,88,39,2.04,440,0.0
354,Panchmahals,SANTRAMPUR,Santrampur1,7.49,1142,765,380,108,26,90,1.0,0,500,92,10,23,0.75,410,0.124
355,Panchmahals,MORWA (HADAF),Santroad_1,7.85,814,545,280,60,31,70,2.6,0,378,64,32,3,0.9,310,0.559
356,Panchmahals,SHEHERA,Shehra,7.95,1823,1221,310,52,43,240,77.0,0,842,128,31,20,0.8,690,0.0
357,Panchmahals,MORWA (HADAF),Suliyat,7.59,1185,794,430,156,10,76,7.7,0,500,106,29,8,0.84,410,0.074
358,Panchmahals,GODHRA,Tuwa,7.87,769,515,260,72,19,71,12.4,0,366,71,6,6,0.55,300,0.017
359,Panchmahals,KALOL,Vejalpur,7.58,1753,1175,660,100,98,140,7.5,0,512,276,49,103,1.45,420,0.322
360,Patan,CHANASMA,Dharmoda1,8.21,946,634,230,56,22,157,31.9,0,512,71,8,41,0.55,420,0.303
361,Patan,CHANASMA,Dhinoj1,7.93,1427,956,300,60,36,210,43.5,0,476,213,7,53,0.45,390,1.047
362,Patan,SAMI,Moti chander,7.71,23380,15665,5700,80,900,3480,49.9,0,952,8652,50,79,0.85,780,4.736
363,Patan,PATAN,Patan2,8.08,2409,1614,330,92,24,450,39.7,0,1116,191,60,66,1.5,915,1.673
364,Patan,SANTALPUR,Piprala,8.26,6328,4240,1200,160,195,1040,2.4,0,905,1525,180,375,1.7,742,0.423
365,Patan,RADHANPUR,Radhanpur2,8.03,4141,2774,1050,220,122,565,68.6,0,1098,922,70,1,1.25,900,2.57
366,Patan,PATAN,Sander,8.0,543,364,190,48,17,50,11.6,0,281,21,7,30,0.55,230,0.434
367,Patan,PATAN,Shankhari,8.28,719,482,230,28,39,103,15.6,0,366,78,10,29,1.5,300,1.539
368,Porbandar,RANAVAV,Adityana,7.96,623,417,220,44,26,91,8.1,0,256,113,24,24,1.0,210,0.026
369,Porbandar,PORBANDAR,Adwana2,8.08,1991,1334,440,68,65,300,0.7,0,293,397,68,220,0.4,240,0.381
370,Porbandar,PORBANDAR,Babda,8.28,1703,1141,270,32,46,300,10.0,0,378,319,8,142,0.68,310,0.13
371,Porbandar,PORBANDAR,Bakharla,7.82,1594,1068,500,64,82,150,4.4,0,256,312,105,81,0.66,210,1.376
