Navsari,Panikhadak,7.74,851,570,0,305,107,10,26,0.23,250,84,41,380,27,2.4
Navsari,Parajan,8.28,1055,707,0,549,57,8,5,2.4,450,12,29,150,180,5.5
Navsari,Ramla,7.92,443,297,0,195,35,2,7,0.53,160,40,17,170,23,0.2
Navsari,Sari_khurd,7.86,2635,1765,0,378,653,0,27,0.07,310,108,124,780,226,33.5
Navsari,Ubhrat,7.65,1088,729,0,427,121,18,20,1.19,350,64,22,250,130,26.2
Panchmahals,Chhabanpur,7.73,831,557,0,305,71,38,63,0.94,250,92,22,320,60,1.5
Panchmahals,Dhanol nani,8.42,2512,1683,132,73,567,45,173,5.2,280,120,36,450,400,2.3
Panchmahals,Gadhar,7.72,873,585,0,281,113,23,31,0.98,230,92,24,330,53,4.2
Panchmahals,Godhara (Colleg,)8.28,710,476,0,317,64,32,13,3.2,260,84,19,290,50,5.4
Panchmahals,Godhara Jilla Se,a)7.96,843,565,0,378,71,27,23,0.93,310,44,43,290,78,2.5
Panchmahals,Godhra(Mandir),8.07,1028,689,0,329,142,28,48,1.18,270,44,50,320,105,1.7
Panchmahals,Godhra(School),8.71,392,263,36,134,21,3,15,0.4,170,48,14,180,18,2.1
Panchmahals,Jambughora,8.26,800,536,0,281,50,43,79,1.12,230,36,43,270,70,1.0
Panchmahals,Jokha,8.14,1338,896,0,537,156,5,8,1.23,440,96,38,400,128,7.7
Panchmahals,Kalol urban 1,8.16,1957,1311,0,64,163,80,484,1.0,52,32,77,400,210,0.8
Panchmahals,Khadki,8.21,1352,906,0,683,78,5,26,2.2,560,44,60,360,160,1.9
Panchmahals,Khanpur,7.80,782,524,0,281,71,31,44,0.65,230,72,29,300,48,0.9
Panchmahals,Kotha,7.80,806,540,0,317,92,10,39,0.99,260,80,7,230,98,1.9
Panchmahals,Kothamba,7.71,1800,1206,0,305,340,64,85,0.65,250,124,58,530,160,4.8
Panchmahals,Limbadia peti,7.90,974,653,0,390,71,7,59,1.05,320,68,43,350,65,1.9
Panchmahals,Lunawada,8.03,1790,1199,0,513,319,45,4,0.2,420,208,31,650,123,20.3
Panchmahals,Malekpur1,8.00,668,448,0,256,50,7,71,0.98,210,76,19,270,43,2.0
Panchmahals,Natapur,7.93,686,460,0,207,113,28,22,1.4,170,92,5,250,60,2.3
