S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
406,Rajkot,JASDAN,Jasdan2,7.93,2000.0,1340.0,700.0,184.0,58.0,145.0,2.0,0.0,329.0,355.0,48.0,191.0,0.35,270.0,0.313
407,Rajkot,JETPUR,Jetpur pithad.,7.68,7386.0,4949.0,3000.0,1020.0,109.0,367.0,3.2,0.0,85.0,2414.0,6.0,264.0,0.0,70.0,0.567
408,Rajkot,JASDAN,Kamlapur,7.72,5577.0,3737.0,1800.0,320.0,243.0,432.0,4.6,0.0,463.0,1278.0,48.0,474.0,0.47,380.0,0.439
409,Rajkot,Gondal,Kolithad1,7.76,4302.0,2882.0,1150.0,44.0,24.0,460.0,3.8,0.0,73.0,1136.0,25.0,429.0,0.3,60.0,0.333
410,Rajkot,TANKARA,Lajai,7.75,2292.0,1536.0,720.0,104.0,112.0,190.0,6.8,0.0,317.0,540.0,8.0,91.0,0.35,260.0,1.326
411,Rajkot,JASDAN,Lalavadar,8.14,742.0,497.0,280.0,60.0,32.0,70.0,2.2,0.0,342.0,50.0,24.0,57.0,0.65,280.0,1.11
412,Rajkot,LODHIKA,Lodhika1,8.28,2894.0,1939.0,780.0,136.0,83.0,302.0,0.9,0.0,500.0,611.0,34.0,120.0,0.5,410.0,6.285
413,Rajkot,MALIYA,Malia,8.02,1664.0,1115.0,390.0,96.0,36.0,184.0,29.3,0.0,427.0,298.0,15.0,1.0,0.25,350.0,0.264
414,Rajkot,MORVI,Modpar1,7.63,17600.0,11792.0,3850.0,540.0,608.0,3260.0,24.2,0.0,293.0,6284.0,28.0,1628.0,0.32,240.0,0.305
415,Rajkot,GONDAL,Mota dadwa,7.81,1787.0,1197.0,710.0,112.0,105.0,98.0,0.3,0.0,256.0,327.0,125.0,139.0,0.25,210.0,0.215
416,Rajkot,MALIYA,Mota dhansura,7.80,2359.0,1581.0,580.0,160.0,44.0,266.0,8.9,0.0,268.0,540.0,35.0,133.0,0.03,220.0,0.134
417,Rajkot,PADDHARI,Movaiya,7.70,4046.0,2711.0,1580.0,352.0,170.0,195.0,0.7,0.0,159.0,1008.0,105.0,334.0,0.25,130.0,0.228
418,Rajkot,TANKARA,Neknam,8.05,385.0,258.0,170.0,32.0,22.0,27.0,1.5,0.0,195.0,28.0,9.0,20.0,0.3,160.0,0.0
419,Rajkot,PADDHARI,Padadhari,8.06,3262.0,2186.0,720.0,160.0,78.0,455.0,14.5,0.0,720.0,653.0,31.0,153.0,0.48,590.0,0.274
420,Rajkot,RAJKOT,Ranpur1,7.88,2087.0,1398.0,740.0,184.0,68.0,112.0,9.7,0.0,415.0,398.0,44.0,36.0,0.7,340.0,0.347
421,Rajkot,RAJKOT,Sardhar2,7.97,845.0,566.0,250.0,64.0,22.0,75.0,0.4,0.0,317.0,78.0,36.0,11.0,0.44,260.0,0.0
422,Rajkot,PADDHARI,Targhari,8.22,1017.0,681.0,360.0,76.0,41.0,80.0,1.4,0.0,281.0,170.0,24.0,39.0,0.3,230.0,0.113
423,Rajkot,JETPUR,Umrali,7.91,1581.0,1059.0,600.0,152.0,54.0,75.0,3.8,0.0,244.0,241.0,47.0,173.0,0.3,200.0,0.117
424,Rajkot,UPLETA,Upleta1,8.15,642.0,430.0,250.0,40.0,36.0,54.0,3.9,0.0,232.0,78.0,18.0,48.0,0.33,190.0,0.269
