"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"136","Bhavnagar","Boda","8.10","1676","1123","0","517","121","65","247","1.10","424","20","10","90","377","1.5","0.00","17.28"
"137","Bhavnagar","Khundeli","7.90","1841","1233","0","305","362","85","92","0.40","250","100","90","620","144","0.2","0.00","2.51"
"138","Bhavnagar","Piprala","8.20","686","460","0","281","71","27","30","0.15","230","56","36","290","44","0.4","","1.12"
"139","Bhavnagar","Vadala","8.00","922","618","0","293","99","76","39","0.26","240","56","46","330","71","0.0","0.00","1.70"
"140","Bhavnagar","Vavdi","8.00","1170","784","0","403","107","130","59","0.35","330","52","83","470","83","0.1","0.00","1.66"
"141","Dahod","Khandania","8.10","730","489","0","354","36","20","129","2.00","290","76","27","300","91","1.2","","2.28"
"142","Dahod","Salaya1","8.10","841","563","0","366","78","30","36","1.00","300","28","27","180","136","0.5","","4.41"
"143","Dahod","Kanjetha","7.60","720","482","0","329","42","34","45","0.85","270","48","27","230","81","3.1","","2.32"
"144","Dahod","Tokarba","8.00","972","651","0","232","170","20","76","0.95","190","76","32","320","97","1.9","","2.36"
"145","Dahod","Dahod1","8.00","927","621","0","220","92","115","57","0.94","180","68","29","290","81","0.0","0.00","2.07"
"146","Dahod","Dahod2","7.50","1376","922","0","427","14","6","207","2.70","350","52","41","300","137","3.3","","3.44"
"147","Dahod","Varamkheda","7.70","747","500","0","329","99","22","22","1.30","270","40","29","220","108","3.3","","3.17"
"148","Dahod","Sukhsar","8.10","743","498","0","366","43","32","36","0.85","300","28","22","160","123","1.4","","4.23"
"149","Dahod","Garbara","7.70","5303","3553","0","586","1136","45","380","3.00","480","160","171","1100","664","36.6","","8.70"
"150","Dahod","Panchwada","7.90","823","551","0","281","64","35","79","1.10","230","48","44","300","62","2.0","","1.56"
"151","Dahod","Limbdi2","8.20","577","387","0","305","50","3","43","1.18","250","36","15","150","102","4.9","0,08","3.62"
"152","Dahod","Mirakhedi","8.10","861","577","0","342","71","65","40","0.82","280","56","27","250","105","0.2","","2.89"
"153","Dahod","Dadhela","8.00","917","614","0","342","78","48","61","1.20","280","32","37","230","123","5.2","","3.53"
"154","Dahod","Wadia","8.00","3200","2144","0","256","731","180","169","1.03","210","244","144","1200","174","10.6","0,00","2.18"
"155","Dahod","Badpa","8.00","1072","718","0","378","135","10","17","2.90","310","48","15","180","164","1.3","0.20","5.31"
"156","Dahod","Dahod urban 2","8.00","2095","1404","0","451","316","205","47","2.40","370","52","90","500","249","4.0","0.07","4.84"
"157","Dahod","Dahod urban 3","7.80","2464","1651","0","244","646","44","90","0,55","200","148","76","680","264","3.8","0.00","4.40"
"158","Dahod","Garadu","8.00","635","425","0","342","50","12","25","0,97","280","28","171","140","115","2.0","0.00","4.23"
"159","Dahod","Thada","8.00","437","293","0","195","43","15","32","1.15","160","44","22","200","32","5.1","2.04","0,98"
"160","Daman","Khariwad daman","7.72","1248","836","0","512","149","5","20","0,60","420","56","43","320","156","7.0","","3.79"
"161","Daman","Ambabari","7.94","1148","769","0","549","113","16","11","0.29","450","132","29","450","86","10.0","","1.76"
"162","Daman","Dabhel","7.64","712","477","0","281","92","13","4","0.27","230","76","36","340","17","0.4","","0.40"
"163","Daman","Dalwada","7.75","701","470","0","281","106","1","7","0.55","230","52","41","300","42","0.6","","1.05"
"164","Daman","Jempore","7.89","1150","771","0","537","71","42","15","0.60","440","100","46","440","70","7.0","","1.45"
"165","Daman","Manwad","7.98","746","500","0","390","43","5","10","0.14","320","72","29","300","44","0.8","","1.10"
"166","Daman","Warkhund","8.01","1460","978","0","415","262","14","14","0.70","340","64","79","490","116","8.0","","2.28"
"167","Diu","Diu","7.90","1208","809","0","488","135","13","7","0.70","400","40","19","180","199","34.2","0.57","6.45"
"168","Diu","Gomtimata","7.80","4065","2724","0","573","880","135","158","0.70","470","80","122","700","599","44.8","0.00","9.84"
"169","Diu","Jolawadi","7.40","11700","7839","0","244","3728","33","719","0.15","200","560","450","3250","1404","43.8","0.00","10.71"
"170","Gandhinagar","Paliya","7.80","1906","1277","0","659","227","100","142","1.10","540","56","115","620","219","0.0","0.00","3.82"
"171","Gandhinagar","Serthapara1","7.60","3100","2077","0","1293","319","34","35","2.10","1060","160","96","800","324","36.0","0.00","4.98"
"172","Jamnagar","Ambardi","7.70","2120","1420","0","345","398","175","71","0.48","283","112","83","620","206","3.7","","3.60"
"173","Jamnagar","Bhanvad","8.00","1099","736","0","329","135","60","32","0.38","270","64","41","330","99","0.4","6.40","2.37"
"174","Jamnagar","Mota kalawad","7.60","2378","1593","0","220","596","37","81","0.60","180","232","73","880","123","1.2","","1.80"
"175","Jamnagar","Dhrol2","8.10","1706","1143","0","525","298","10","76","0.35","430","48","66","390","255","1.9","0.00","5.61"
"176","Jamnagar","Balwa","8.20","922","618","0","232","114","70","82","0,35","190","96","27","350","67","1.5","","1.56"
"177","Jamnagar","Seth vadala","8.00","1346","902","0","317","163","31","170","0.45","260","92","54","450","113","0.9","","2.32"
"178","Jamnagar","Bed","7.60","2414","1617","0","232","426","250","191","0.20","190","208","44","700","230","6.0","","3.78"
"179","Jamnagar","Changa","8.00","1686","1130","0","207","327","105","112","0.26","170","108","56","500","156","1.5","","3.03"
"180","Jamnagar","Gordhanpur","8.10","2396","1605","0","256","561","6","166","0.35","210","96","54","460","336","3.7","","6.81"
"181","Jamnagar","Jambuda","7.90","4711","3156","0","525","1349","11","174","0.50","430","296","195","1540","464","9.4","","5.14"
"182","Jamnagar","Jamnagar2","8.10","851","570","0","317","92","3","76","0.33","260","48","27","230","112","1.2","","3.21"
"183","Jamnagar","Vijarkha","8.10","645","432","0","293","64","8","22","0.12","240","52","22","220","65","0.5","","1.91"
"184","Jamnagar","Amran1","8.20","676","453","0","293","107","3","0","0.20","240","52","17","200","90","5.7","","2.77"
"185","Jamnagar","Bedanpur","7.90","2040","1367","0","256","476","62","82","0.40","210","120","78","620","187","0.5","","3.27"
"186","Jamnagar","Dudhai2","8.20","692","464","0","281","71","3","62","0.48","230","28","15","130","124","2.1","","4.73"
"187","Jamnagar","Haripur2","8.00","1331","892","0","232","185","175","66","0.60","190","84","51","420","113","0.2","","2.40"
"188","Jamnagar","Kalawad","8.00","1794","1202","0","329","277","175","85","0.45","270","92","85","590","141","1.8","0.00","2.52"
"189","Jamnagar","Moti matli","8.00","860","576","0","256","128","34","48","0.51","210","48","27","230","111","1.4","","3.18"
"190","Jamnagar","Nikava","8.00","1400","938","0","439","220","8","36","0.38","360","72","41","350","170","11.3","","3.95"
"191","Jamnagar","Toda","8.20","756","507","0","317","85","60","29","0.45","260","64","27","270","88","1.9","0.00","2.33"
"192","Jamnagar","Bhatia","7.40","6852","4591","0","183","1740","60","693","0.28","150","320","170","1500","877","0.3","","9.85"
"193","Jamnagar","Bhogat","7.50","1840","1233","0","244","405","20","94","1.74","200","76","46","380","238","4.9","","5.31"
"194","Jamnagar","Juvanpur","7.90","2700","1809","0","342","568","125","129","0.32","280","88","68","500","381","4.6","","7.41"
"195","Jamnagar","Kalyanpur1","7.90","1338","896","0","281","234","65","80","0.26","230","64","36","310","180","0.9","","4.44"
"196","Jamnagar","Kalyanpur2","7.80","5755","3856","0","488","1527","80","243","2.00","400","140","170","1050","853","2.6","","11.45"
"197","Jamnagar","Pindara","8.00","1020","683","0","281","170","2","8","0.45","230","68","32","300","85","8.4","","2.13"
"198","Jamnagar","Raval","7.70","3062","2052","0","207","781","70","186","0.20","170","208","83","860","311","1.0","","4.61"
"199","Jamnagar","Kajuda","7.60","5121","3431","0","476","1122","46","504","0.44","390","160","170","1100","670","5.5","","8.78"
"200","Jamnagar","Kuvadia","8.10","708","474","0","220","85","44","26","0.26","180","60","24","250","53","0.3","0.47","1.46"
"201","Jamnagar","Salaya","7.90","1472","986","0","427","206","40","29","0.20","350","92","34","370","155","23.4","","3.50"
"202","Jamnagar","Vadtara","8.10","1205","807","0","354","163","135","62","0.18","290","100","7","280","192","1.2","","4,99"
"203","Jamnagar","Vinjhalpur","8.00","1219","817","0","244","192","65","87","0.20","200","68","17","240","174","1.3","","4.88"
"204","Jamnagar","Lalpur1","7.50","1600","1072","0","329","362","70","32","0.30","270","108","34","410","215","2.4","","4.62"
"205","Jamnagar","Vad panchasara","8.00","1328","890","0","500","185","22","35","0.48","410","92","44","410","147","6.3","","3.16"
"206","Jamnagar","Aramda","7.90","4335","2904","0","1037","838","42","60","0.60","850","120","73","600","685","54.1","","12.16"
"207","Jamnagar","Dwarka","7.80","2172","1455","0","232","469","110","22","0.25","190","72","39","340","291","26.0","","6.86"
"208","Jamnagar","Mojap","7.60","7060","4730","0","659","1882","11","62","1.54","540","140","97","750","1176","71.8","","18.67"
"209","Jamnagar","Samrasar","7.60","11280","7558","0","403","3657","10","390","3.48","330","320","389","2400","1646","25.4","","14.61"
"210","Jamnagar","Varwada","7.30","8243","5523","0","305","2592","60","345","0.75","250","260","291","1850","1156","14.4","","11.69"
"211","Jamnagar","Ambaliya","8.00","3654","2448","0","622","824","4","122","3.20","510","56","107","580","573","16.9","","10.34"
"212","Junagadh","Bilkha","8.20","1000","670","0","244","192","42","76","0.30","200","56","61","390","91","1.0","","2.00"
"213","Junagadh","Junagadh1","8.00","1080","724","0","183","206","60","37","0.25","150","76","41","360","79","2.7","0.85","1.81"
"214","Junagadh","Keshod","8.20","1032","691","0","329","85","38","61","0.30","270","84","32","340","67","7.4","1.70","1.58"
"215","Junagadh","Kodinar1","7.30","2390","1601","0","378","525","32","97","0.75","310","128","92","700","225","1.8","","3.70"
"216","Junagadh","Budhecha","8.20","1603","1074","0","122","369","35","143","0.50","100","84","36","360","205","4.4","","4.70"
"217","Junagadh","Chorwad","7.20","9823","6581","0","122","3515","32","230","0.20","100","860","231","3100","1052","4.3","","8.21"
"218","Junagadh","Juthal","8.20","835","559","0","293","107","7","8","0.30","240","76","24","290","54","2.2","","1.38"
"219","Junagadh","Kanek","7.60","7820","5239","0","146","2556","36","223","0.25","120","980","163","3120","420","17.3","","3.27"
"220","Junagadh","Khambalia1","7.90","4095","2744","0","244","1250","33","59","0.20","200","272","34","820","577","16.6","0,00","8.76"
"221","Junagadh","Kukaswada","7.60","7124","4773","0","146","2414","24","120","0.15","120","820","73","2350","627","3,5","0,00","5.62"
"222","Junagadh","Bantva","7.50","3796","2543","0","378","753","30","452","0,68","310","72","54","400","682","2.0","","14.83"
"223","Junagadh","Antroli","7.10","9820","6579","0","98","3479","70","273","0.15","80","700","280","2900","1146","18.6","","9.25"
"224","Junagadh","Arena","7.80","7800","5226","0","159","2663","60","231","0.15","130","600","231","2450","816","35.3","","7.17"
"225","Junagadh","Bamanwara","7.50","10233","6856","0","110","3373","90","633","0.40","90","","462","4600","479","4.0","","3.07"
"226","Junagadh","Goraj","8.20","980","657","0","342","135","50","15","1.00","280","48","34","260","125","2.5","","3.37"
"227","Junagadh","Khorada1","8.00","2800","1876","0","488","611","155","33","0.66","400","128","88","680","347","1.7","","5.79"
"228","Junagadh","Lohej","7.50","8215","5504","0","293","2840","38","342","0.35","240","480","207","2050","1212","23.9","","11.64"
"229","Junagadh","Maktupur1","7.90","5943","3982","0","683","1775","34","160","0.27","560","400","61","1250","756","326,0","","9.30"
"230","Junagadh","Mangrol1","8.20","1933","1295","0","451","376","105","10","0.90","370","116","34","430","253","27.0","","5.30"
"231","Junagadh","Manketara","8.20","1256","842","0","354","163","35","63","0.90","290","56","34","280","156","4.3","","4.05"
"232","Junagadh","Seriakhan","8.10","1900","1273","0","195","440","135","56","0.28","160","144","58","600","164","1.4","","2.91"
"233","Junagadh","Shardagram","7.50","9372","6279","0","207","3195","19","513","0.38","170","300","292","1950","1534","10.4","","15.10"
"234","Junagadh","Sil","7.90","2905","1946","0","390","724","21","54","0.15","320","96","29","360","459","70.6","","10,52"
"235","Junagadh","Sil bandar","7.70","7343","4920","0","317","2201","64","383","0.50","260","320","170","1500","1084","34.6","","12.17"
"236","Junagadh","Mendarda1","8.20","565","379","0","281","57","4","20","0,48","230","36","39","250","40","0.3","0.00","1.10"
"237","Junagadh","Alwani","8.00","824","552","0","354","64","2","39","0,05","290","40","56","330","43","0.3","","1.03"
"238","Junagadh","Jambur[madhapar","7.40","853","572","0","366","85","9","6","0.28","300","60","41","320","53","2.1","","1.29"
"239","Junagadh","Talala1","8.00","934","626","0","342","71","22","65","0.08","280","44","54","330","63","1.0","","1.51"
"240","Junagadh","Dhokadva","7.80","590","395","0","305","28","11","13","0.18","250","44","34","250","29","2.3","","0.80"
"241","Junagadh","Girgadhada","7.80","778","521","0","354","57","37","8","0.35","290","52","41","300","51","0.3","","1.28"
"242","Junagadh","Jamvala1","7.80","652","437","0","305","43","4","15","0,26","250","56","24","240","42","2.6","","1.18"
"243","Junagadh","Una2","7.60","2931","1964","0","793","483","75","119","2.30","650","88","97","620","419","3.6","","7.32"
"244","Junagadh","Khoras ahir","8.00","1747","1170","0","366","334","72","29","0.20","300","172","46","620","113","1.3","","1,97"
"245","Junagadh","Ajotha","7.30","1405","941","0","268","263","65","48","0.85","220","84","58","450","115","1.4","","2.36"
"246","Junagadh","Govindpura2","7.40","627","420","0","268","50","14","24","0.80","220","48","39","280","23","1.6","0.17","0,60"
"247","Junagadh","Prempara","8.10","1100","737","0","354","142","76","10","0.20","290","72","61","430","62","0.1","","1.30"
"248","Junagadh","Ambervelnes","7.80","750","503","0","366","50","4","3","0.19","300","64","34","300","36","3.8","0.00","0,90"
"249","Junagadh","Bhimvel","8.00","1054","706","0","366","107","40","28","0.50","300","64","34","300","99","2.1","0.00","2.49"
"250","Junagadh","Degam","8.10","3858","2585","0","476","966","26","258","1.00","390","96","83","580","682","24.7","","12.31"
"251","Junagadh","Kansari","7.30","1423","953","0","427","178","105","28","0.95","350","60","63","410","143","1.2","0.40","3.07"
"252","Junagarh","Agatrai","8.00","2681","1796","0","256","696","130","79","0.28","210","216","121","1040","162","0,9","0.00","2.18"
"253","Junagarh","Anandpur","7.70","2200","1474","0","207","525","100","84","0,50","170","160","78","720","170","0.7","","2.75"
"254","Junagarh","Ankalvadi","7.70","612","410","0","281","57","8","2","0.20","230","48","29","240","37","1.8","","1.04"
"255","Junagarh","Chokhli","7.90","1286","862","0","159","263","28","105","0.43","130","72","22","270","170","1.0","","4.50"
"256","Junagarh","Jagrala","8.00","519","348","0","281","28","2","7","0.28","230","44","24","210","32","0.2","0.00","0,96"
"257","Junagarh","Kasiya naka","8.10","700","469","0","390","36","5","4","0.10","320","36","49","290","41","0.0","","1.05"
"258","Junagarh","Kesariya ji","7.40","1870","1253","0","317","369","56","90","0,90","260","72","66","450","220","4.5","0.00","4.51"
"259","Junagarh","Khanderipur","8.00","618","414","0","256","99","2","15","0.20","210","28","46","260","50","0.3","","1.35"
"260","Junagarh","Saradiya","7,60","2460","1648","0","354","540","25","145","0.35","290","128","58","560","310","3.3","","5.70"
"261","Junagarh","Vadal","8.00","1050","704","0","281","163","90","38","0.70","230","72","44","360","100","0,9","","2.29"
"262","Kacchh","Bambhedai","7.88","4696","3146","0","159","1383","1","297","0.50","130","120","120","800","744","5.0","","11.44"
"263","Kacchh","Khorai","7.35","1129","756","0","244","206","46","22","0.00","200","80","29","320","108","9.5","0.36","2,62"
"264","Kacchh","Kotada","7.60","2446","1639","0","256","674","21","130","0.30","210","120","72","600","334","4.9","0.60","5.93"
"265","Kacchh","Luni","7.81","1623","1087","0","171","411","50","19","0.07","140","96","31","370","192","6.2","","4.34"
"266","Kacchh","Suthri","7.86","4725","3166","0","378","1347","6","100","0.77","310","140","84","700","757","5.7","0.00","12.44"
"267","Kacchh","Tuga","8.10","1916","1284","0","256","439","10","48","0.68","210","52","62","390","233","12.9","0.00","5.13"
"268","Kacchh","Ughedi","7.98","6892","4618","0","171","2056","19","474","0.30","140","180","252","1500","960","7.5","","10.78"
"269","Kacchh","vadala","7.98","3976","2664","0","342","1099","23","135","0.66","280","140","108","800","557","5.3","0.00","8.56"
"270","Kachchh","Kotaya","7.90","1153","773","0","378","149","17","79","0.95","310","20","31","180","203","0,9","","6,58"
"271","Kachchh","Kothara","7.56","4897","3281","0","126","1418","5","290","0.00","103","220","108","1000","660","32.0","","9.07"
"272","Kachchh","Mothala","7.70","5921","3967","0","207","1914","1","128","0.20","170","160","216","1300","800","5.2","","9.65"
"273","Kachchh","Naliya1","7.98","1545","1035","0","598","170","6","78","1.15","490","16","31","170","300","3.9","0.08","10.00"
"274","Kachchh","Tera","7.45","4956","3321","0","854","957","27","506","1.50","700","100","120","750","860","13.6","","13.65"
"275","Kachchh","Vinjhan1","7.82","672","450","0","256","57","0","65","0.40","210","32","36","230","60","7.8","","1.72"
"276","Kachchh","Dholavira","7.92","11320","7584","0","842","2552","75","1021","0.20","690","480","240","2200","1500","200.0","","13.90"
"277","Kachchh","Kharoi","7.78","28360","19001","0","366","8190","21","2468","2.20","300","120","300","1550","6000","60.0","","66.26"
"278","Kachchh","Rathanpurkhadir","7.65","3440","2305","0","317","957","22","214","0.60","260","180","132","1000","400","16.0","0.00","5.50"
"279","Kachchh","Samkhiari","8.01","3850","2580","0","537","709","200","347","1.00","440","100","180","1000","354","160.0","","4.87"
"280","Kachchh","Bhuj1","7.66","900","603","0","171","142","4","143","0.14","140","76","22","280","99","13.0","","2.57"
"281","Kachchh","Khavada","7.67","7212","4832","0","146","1844","6","922","0.00","120","260","292","1850","860","20.4","","8.69"
"282","Kachchh","Lodai","7.50","3013","2019","0","183","567","25","588","0.30","150","200","132","1050","250","15.0","","3.35"
"283","Kachchh","Sedat","7.58","590","395","0","207","85","0","37","0.00","170","52","26","240","41","3.0","","1.15"
"284","Kachchh","Sukhpar","7.98","7680","5146","0","146","1950","25","932","1.25","120","100","396","1900","920","4.6","","9.18"
"285","Kachchh","Gandhidham1","7.81","790","529","0","317","99","35","1","0.21","260","64","31","290","65","11.5","","1.66"
"286","Kachchh","Shinaya","7.75","2873","1925","0","293","780","12","44","0.44","240","120","12","350","488","3.8","","11.34"
"287","Kachchh","Lakhpat1","7.60","3477","2330","0","159","815","3","435","0.00","130","180","134","1000","345","8.0","","4.74"
"288","Kachchh","Mata no madh","7.98","968","649","0","159","149","10","155","0.35","130","68","29","290","103","7.1","","2.63"
"289","Kachchh","Moti cher","7.92","3251","2178","0","122","957","5","188","0.00","100","140","144","950","330","19.1","","4.66"
"290","Kachchh","Dunai","7.68","998","669","0","403","106","5","55","0.70","330","32","48","280","122","2.1","","3.17"
"291","Kachchh","Kotadi","7.62","2874","1926","0","537","567","9","252","0.85","440","60","84","500","470","5.8","","9.14"
"292","Kachchh","Mandvi-3","7.60","616","413","0","354","57","6","8","0.00","290","68","14","230","54","29.5","","1.55"
"293","Kachchh","Ratanpur(maum.)","7.80","1282","859","0","342","156","28","143","0.85","280","28","46","260","192","5.6","","5.18"
"294","Kachchh","Bhadreshwar","7.51","721","483","0","220","135","6","5","0.00","180","44","26","220","75","10.1","","2.20"
"295","Kachchh","Karagoga","7.60","4195","2811","0","964","780","8","153","1.20","790","100","24","350","793","2.8","0.00","18.43"
"296","Kachchh","Chandranagar","7.98","1972","1321","0","195","383","4","282","0.43","160","88","84","570","200","8.0","0.20","3.64"
"297","Kachchh","Devisar","7.90","4611","3089","0","244","1276","1","324","0.80","200","160","132","950","650","15.4","0.83","9.17"
"298","Kachchh","Deshalpur rapar","7.80","2250","1508","0","220","432","13","297","0.08","180","132","106","770","160","27.0","","2.51"
"299","Kachchh","Gagodar","7.90","20370","13648","0","366","5850","120","1468","1.40","300","600","657","4200","2800","150.0","4.90","18.78"
"300","Kachchh","Kuda","7.56","950","637","0","390","92","8","47","0.80","320","112","17","350","73","12.0","2.50","1.70"
"301","Kachchh","Lilpur","7.60","6880","4610","0","390","1737","40","850","0.95","320","420","276","2200","700","26.0","0.57","6.49"
"302","Kachchh","Rapar2","7.61","780","523","0","171","121","2","112","0.35","140","68","26","280","70","3.7","","1.82"
"303","Kheda","Balasinor1","7.55","663","444","0","171","99","26","72","0.35","140","68","31","300","36","0.7","","0.90"
"304","Kheda","Juna vasadra","8.05","4010","2687","0","586","922","32","254","0.35","480","200","240","1500","271","22.0","","3.04"
"305","Kheda","Ladvel","7.92","980","657","0","366","121","5","30","0.82","300","28","22","160","145","39.0","","4.98"
"306","Kheda","Alina","7.87","2423","1623","0","464","496","115","29","0.70","380","52","106","570","296","8.2","","5.39"
"307","Kheda","Mahudha","7.60","1911","1280","0","671","284","38","2","0.68","550","44","74","420","261","5.0","","5.54"
"308","Kheda","Nadiad2","7.61","1068","716","0","573","50","1","30","0.46","470","44","79","440","62","15.0","","1.29"
"309","Kheda","Dakor","7.92","1872","1254","0","830","156","21","8","0.72","680","32","77","400","240","12.2","","5.22"
"310","Kheda","Kalesar","8.00","1190","797","0","622","64","7","13","0.92","510","32","55","310","144","0.4","","3.56"
"311","Kheda","Alindra","7,66","789","529","0","390","28","10","45","0.60","320","48","41","290","58","1.7","","1.48"
"312","Kheda","Bariyavi","7.40","1200","804","0","378","156","6","100","0.10","310","56","48","340","139","1.2","","3.28"
"313","Kheda","Muliyad","7.98","6945","4653","0","171","2304","4","220","0.50","140","260","228","1600","950","0.4","","10.33"
"314","Kheda","Parvada","7.52","1200","804","0","476","120","25","4","0.70","390","56","43","320","112","27.0","","2.72"
"315","Mahesana","Asjol","8.18","540","362","0","220","28","60","4","0.08","180","64","12","210","29","12.1","0.85","0.87"
"316","Mahesana","Dharpura","8.20","990","663","0","500","57","16","8","0.70","410","32","14","140","172","46.0","0,05","6.32"
"317","Mahesana","Budasan","7.98","2580","1729","0","695","567","26","88","0.60","570","260","72","950","250","38.0","","3.53"
"318","Mahesana","Vidaj","7.86","2363","1583","0","573","390","50","100","0.20","470","140","36","500","245","157.0","0.20","4.76"
"319","Mahesana","Kheralu1","7.94","1796","1203","0","561","234","18","112","1.76","460","60","60","400","244","0.1","0.00","5.30"
"320","Mahesana","Rampura1","8.10","1214","813","0","537","92","5","89","0.37","440","64","34","300","170","2.1","0.00","4.27"
"321","Mahesana","Unad1","8.06","9124","6113","0","1488","2304","40","122","1.37","1220","200","240","1500","1460","23.0","0.00","16.39"
"322","Mahesana","Maguna","7.92","3081","2064","0","964","496","30","58","0.55","790","96","98","650","430","34.0","","7.33"
"323","Mahesana","Panchot","8.06","1950","1307","0","500","362","6","21","0.25","410","52","36","280","310","73.0","0.00","8.05"
"324","Mahesana","Dosaj","8.20","2920","1956","0","317","709","55","25","0.30","260","200","36","650","319","108.0","0.00","5.44"
"325","Mahesana","Sihi","7.60","830","556","0","317","85","17","10","0.33","260","52","29","250","72","51.0","0.00","1,98"
"326","Mahesana","Unawa","8.00","4310","2888","0","744","1064","8","29","0.40","610","140","180","1100","491","74.0","0.26","6.44"
"327","Mahesana","Bhandupara","8.10","2286","1532","0","488","447","3","72","0.72","400","32","70","370","344","20.8","0.00","7.78"
"328","Mahesana","Tarabh","8.10","512","343","0","244","43","2","11","0.30","200","56","17","210","30","7.7","","0.90"
"329","Mahesana","Unjha","7.68","3256","2182","0","610","496","150","322","1.00","500","120","108","750","422","94.0","0.00","6.70"
"330","Narmada","Kanbi pitha","8.10","603","404","0","305","35","2","17","0.25","250","56","31","270","23","0.1","","0.61"
"331","Narmada","Garudeshwar","7.90","1080","724","0","476","64","46","28","0.48","390","88","53","440","50","3.0","","1.04"
"332","Narmada","Hirapura","8.02","900","603","0","427","50","2","40","0.76","350","96","31","360","49","0.8","0.00","1.12"
"333","Narmada","Khota amba","7.90","673","451","0","354","21","0","36","0.40","290","76","31","320","18","0.0","","0.44"
"334","Narmada","Ringani","8.25","552","370","0","256","28","4","39","0.37","210","48","34","260","16","0.2","","0.43"
"335","Narmada","Sunderpura","7.20","1253","840","0","610","50","70","10","0.87","500","108","50","480","42","57.0","","0.83"
"336","Narmada","Amayar","8.20","456","306","0","232","21","1","15","0.33","190","40","22","190","22","0.1","","0,69"
"337","Narmada","Selemba","8.10","688","461","0","281","43","24","38","0.30","230","64","36","310","19","0.3","","0.47"
"338","Narmada","Namaria","7.82","4700","3149","0","525","908","720","133","0.83","430","160","310","1690","349","1.8","","3.69"
"339","Narmada","Alma wadi","7.70","1700","1139","0","183","255","230","180","0.19","150","164","96","810","36","1.1","2.00","0.55"
"340","Narmada","Besana","8.06","390","261","0","207","14","2","31","0.20","170","44","22","200","11","0.2","0.45","0.34"
"341","Narmada","Chuli","8.06","626","419","0","256","50","35","36","0.15","210","84","22","300","22","0.3","1.00","0.55"
"342","Narmada","Jankh","8.10","468","314","0","268","28","3","11","0.16","220","60","7","180","43","0.0","3.50","1.39"
"343","Narmada","Khadiapada","8.00","471","316","0","220","21","7","10","0.02","180","52","14","190","17","0.0","0.85","0.54"
"344","Narmada","Ralda","8.00","565","379","0","293","14","5","19","0.30","240","72","17","250","16","0.3","0.00","0.44"
"345","Narmada","Umran","7.90","496","332","0","220","35","17","13","0.10","180","56","22","230","13","0.0","1.00","0.37"
"346","Navsari","Unai","7.73","650","436","0","171","99","24","45","0.35","140","56","31","270","36","1.3","0.00","0,95"
"347","Navsari","Hond","7.65","1170","784","0","537","92","24","10","0.25","440","124","34","450","63","13.0","","1.29"
"348","Navsari","Kaliyari","7.61","628","421","0","256","64","13","54","0.27","210","52","43","310","27","0.6","","0,67"
"349","Navsari","Khergam","7.31","520","348","0","220","50","6","40","0.35","180","64","19","240","27","0.2","","0.76"
"350","Navsari","Sari khurd","7.71","1220","817","0","329","158","1","145","0.18","270","40","48","300","160","20.0","","4.02"
"351","Navsari","Abrama","7.81","2880","1930","0","464","745","8","12","0.40","380","160","60","650","362","22.0","","6.17"
"352","Navsari","Chinam","7.52","3140","2104","0","793","496","21","156","0.49","650","240","24","700","230","340.0","","3.78"
"353","Navsari","Dandi","7.98","1290","864","0","427","156","22","39","0.15","350","52","38","290","143","61.0","","3.65"
"354","Navsari","Onjal","7.95","1160","777","0","220","241","2","10","0.26","180","80","34","340","91","5.3","","2.15"
"355","Navsari","Ubhrat","7.61","610","409","0","317","50","9","17","0.38","260","48","12","170","86","16.0","","2.87"
"356","Navsari","Navsari1","7.66","6000","4020","0","232","1879","5","80","0.48","190","340","144","1450","696","6.2","","7.95"
"357","Navsari","Chadav","7.70","840","563","0","354","85","12","47","0.70","290","84","38","370","47","3.0","0.00","1.06"
"358","Navsari","Dhanav","7.81","745","499","0","354","50","3","53","1.07","290","40","41","270","70","0.6","","1.85"
"359","Navsari","Manavkhadak","7.91","475","318","0","244","35","2","36","0.84","200","52","22","220","33","0.5","0.03","0.97"
"360","Navsari","Moti Valzar","7.81","615","412","0","293","42","7","60","0.70","240","68","29","290","37","0.8","0.03","0.94"
"361","Navsari","Panikhadak","7.35","672","450","0","281","85","5","9","0.33","230","88","24","320","21","3.0","0.00","0.51"
"362","Panchmahals","Ranipura","8.10","2294","1537","0","415","412","65","198","1.45","340","96","117","720","217","3.9","","3.52"
"363","Panchmahals","Godhra1","7.90","1166","781","0","305","121","44","36","1.08","250","52","20","210","133","0.7","0.11","3.99"
"364","Panchmahals","Tuwa","8.10","1124","753","0","305","142","35","80","0.50","250","84","20","290","127","14.5","","3.24"
"365","Panchmahals","Shivrajpur","8.20","998","669","0","195","199","7","84","0.15","160","96","24","340","91","1.0","","2.15"
"366","Panchmahals","Tarkanda","8.00","988","662","0","244","135","11","115","0.40","200","96","24","340","84","2.2","","1.98"
"367","Panchmahals","Timbi2","8.10","982","658","0","342","71","39","152","0.35","280","96","34","370","93","0.2","","2.10"
"368","Panchmahals","Kothamba","8.00","1890","1266","0","342","355","55","72","0.60","280","40","98","500","188","2.9","","3.66"
"369","Panchmahals","Limbadia peti","7.90","820","549","0","451","57","6","71","1.15","370","16","44","220","144","1.0","","4.22"
