Rajkot,kamlapur,7.76,4196,2811,0,146,1051,236,239,0.55,120,360,151,1520,274,0.89,3.1
Rajkot,Lalavadar,7.96,710,476,0,378,43,7.6,18,0.13,310,104,7.3,290,50.0,0.84,1.3
Rajkot,Machhu Kunda,8.12,1570,1052,0,354,284,13.0,114,1.9,290,64,44.0,340,197.0,0.03,4.6
Rajkot,Maliya,8.2,695,466,0,329,57,4.7,41,0.5,270,36,36.0,240,63.0,12.0,1.8
Rajkot,Morvi,8.15,531,356,0,195,64,3.7,29,0.35,160,28,27.0,180,50.0,3.3,1.6
Rajkot,Mota Gundala,8.14,570,382,0,268,57,8.0,14,0.86,220,20,24.0,150,80.0,0.57,2.8
Rajkot,Mota Gundala,8.0,4257,2852,0,146,1136,40.0,222,0.45,120,80,190.0,980,485.0,24.0,6.7
Rajkot,Motadadva,8.15,1454,974,0,293,249,86.0,74,0.37,240,128,61.0,570,91.0,0.83,1.7
Rajkot,Movaiya,8.14,1991,1334,0,281,391,37.0,184,0.0,230,72,92.0,560,176.0,7.9,3.2
Rajkot,Neknam,7.57,8364,5604,0,244,2556,273.0,548,0.67,200,360,572.0,3250,727.0,1.17,5.5
Rajkot,Patan Vav,8.18,607,407,0,342,36,3.6,20,0.68,280,20,34.0,190,69.0,1.6,2.2
Rajkot,Pedhla,7.77,2550,1709,0,244,639,48.0,57,0.55,200,216,117.0,1020,103.0,4.3,1.4
Rajkot,Ribda,7.83,961,644,0,354,149,39.0,63,0.25,290,140,15.0,410,75.0,0.59,1.6
Rajkot,Sardhar,8.18,1868,1252,0,671,270,32.0,64,0.19,550,80,51.0,410,235.0,87.0,5.0
Rajkot,Sindhavadar,8.19,1172,785,0,366,149,57.0,58,1.58,300,36,39.0,250,162.0,0.37,4.4
Rajkot,Targhari,7.98,1700,1139,0,342,355,29.0,104,0.49,280,36,126.0,610,143.0,1.8,2.5
Rajkot,Umrali,7.97,1821,1220,0,183,369,45.0,141,0.47,150,16,109.0,490,176.0,1.2,3.5
Rajkot,Upleta,8.36,2715,1819,96,634,284,89.0,118,4.8,680,40,24.0,200,500.0,1.47,15.4
Rajkot,Virnagar,8.29,1008,675,0,293,156,17.0,42,0.35,240,68,46.0,360,80.0,4.8,1.8
Rajkot,Virpur,8.12,1706,1143,0,366,263,148.0,98,0.25,300,116,61.0,540,145.5,3.0,2.7
Sabarkantha,Alwa Kampa,8.09,850,570,0,415,64,18.0,39,0.61,340,24,63.0,320,81.0,0.5,17.5
Sabarkantha,Atarsumba_2,7.65,850,570,0,207,135,12.0,50,0.35,170,44,46.0,300,59.0,1.7,19.2
Sabarkantha,Bhadreshwar(Daramli),7.54,2190,1467,0,659,326,14.0,188,2.0,540,104,71.0,550,303.0,4.7,5.6
Sabarkantha,Bibipur1,7.56,1425,955,0,232,191,169.0,64,0.33,190,108,66.0,540,70.0,1.9,1.3
Sabarkantha,Boral,7.88,2914,1952,0,451,567,145.0,143,0.61,370,72,134.0,731,337.0,1.0,5.4
Sabarkantha,Boriya,7.63,2594,1738,0,232,560,125.0,108,0.52,190,112,112.0,741,210.0,0.75,3.4
Sabarkantha,Chandap_DW,7.49,1275,854,0,256,248,35.0,62,0.78,210,84,39.0,370,130.0,3.5,2.9
Sabarkantha,Choriwad,7.89,2174,1457,0,329,432,220.0,73,0.73,270,329,56.0,1051,70.0,2.9,0.9
Sabarkantha,Dhansura,7.52,1135,760,0,354,142,60.0,64,0.54,290,84,66.0,480,68.0,0.86,1.3
Sabarkantha,Gadada,7.81,1659,1112,0,268,241,65.0,250,0.92,220,44,112.0,570,142.0,6.2,23.4
Sabarkantha,Gadha1,7.78,2631,1763,0,268,546,87.0,265,1.7,220,84,41.0,380,414.0,1.7,9.2
Sabarkantha,Hamirpur,7.68,1106,741,0,183,213,38.0,46,0.74,150,80,36.0,350,74.0,0.77,1.7
Sabarkantha,Harsol1,8.2,1598,1071,0,793,106,18.0,69,1.7,650,56,46.0,330,255.0,1.9,6.1
Sabarkantha,Hingatiya,7.58,2558,1714,0,317,539,8.1,200,1.7,260,92,117.0,711,255.0,7.7,4.2
Sabarkantha,Idar,7.63,1026,687,0,195,121,139.0,64,5.5,160,84,29.0,330,95.0,1.1,2.3
Sabarkantha,Karanpur,7.8,693,464,0,256,78,44.0,20,0.74,210,16,49.0,240,63.0,0.3,14.9
