152,Dang,Bardipada,20.97472,73.62972,7.95,595,399,280,0,281,43,18,9.49,0.29,230,64,29,22,0.32,82,0.57
153,Dang,Subir,20.92222,73.58056,8.25,385,258,170,0,134,43,27,5.29,0.16,110,32,22,18,0.74,55,0.6
154,Dang,Ahwa1,20.75833,73.68333,7.5,721,483,260,0,256,99,41,0.58,0.21,210,72,19,59,11.0,29,1.59
155,Dang,Umberpada,20.68333,73.725,7.8,387,259,170,0,183,28,16,1.56,0.29,150,40,17,18,1.34,42,0.6
156,Dang,Malegaon,20.6,73.74583,7.88,438,293,210,0,195,43,14,4.62,0.29,160,60,15,15,0.42,48,0.45
157,Dang,Jakana,20.63333,73.74583,8.02,586,393,280,0,232,50,25,30.0,0.27,190,72,24,18,0.74,64,0.47
158,Dang,Dhumkal,20.64583,73.79167,8.04,545,365,260,0,220,50,24,25.0,0.21,180,68,22,20,0.74,49,0.54
159,Dang,Boripada,20.64,73.69139,7.71,438,293,200,0,244,21,7,5.05,0.27,200,56,15,16,0.98,76,0.49
160,Dang,Chikhli,20.64,73.69139,7.91,375,251,160,0,171,21,6,0.18,0.23,140,52,7,10,0.23,61,0.34
161,Dang,Nana pada,20.7,73.58333,8.03,388,260,190,0,220,14,7,1.04,0.26,180,44,19,12,0.26,60,0.38
162,Dang,Sakarpatal,20.71944,73.55694,8.03,398,267,190,0,207,21,8,9.22,0.24,170,52,15,13,0.2,60,0.41
163,Dang,Waghai,20.76389,73.50444,7.95,610,409,290,0,220,64,43,12.0,0.24,180,52,39,22,0.32,62,0.56
164,Dang,Chinchnogaotha,20.80833,73.55278,7.81,649,435,310,0,232,71,30,31.0,0.31,190,76,29,23,0.17,84,0.57
165,Dang,Vazat Amba,20.87833,73.51833,8.25,466,312,230,0,244,21,12,7.26,0.13,200,56,22,13,0.24,52,0.37
166,Dang,Sodmal,20.86667,73.61667,8.18,425,285,200,0,220,21,10,1.7,0.23,180,40,24,14,0.31,61,0.43
167,Dang,Nadak khadi,20.80417,73.6125,8.12,482,323,200,0,220,35,14,9.02,0.21,180,48,19,28,0.33,54,0.86
168,Dang,Ghubita,20.8,73.7375,8.13,425,285,200,0,232,21,5,2.08,0.24,190,48,19,15,0.51,63,0.46
169,Dang,Chinchpada,20.6375,73.775,8.12,366,245,170,0,207,14,4,0.39,0.2,170,40,17,15,0.37,26,0.5
170,Dang,Bori Goatha 1,20.81083,73.50306,7.99,1755,1176,390,0,293,326,249,11.79,0.36,240,72,51,248,2.78,19,5.46
171,Devbhumi Dwarka,Ambardi,21.91667,69.85833,8.0,1540,1032,610,0,134,284,180,104.0,0.22,110,128,71,86,1.1,56,1.51
172,Devbhumi Dwarka,Aramda,22.43333,69.04167,7.9,1737,1164,560,0,403,376,62,3.3,0.38,330,84,85,180,5.7,25,3.31
173,Devbhumi Dwarka,Bhanvad,21.92778,69.79583,8.2,906,607,250,0,366,99,41,7.1,0.56,300,48,32,106,3.3,40,2.91
174,Devbhumi Dwarka,Bhogat1,21.99167,69.24583,7.8,3361,2252,641,0,244,787,293,16.3,1.04,200,108,90,425,11.0,18,7.3
175,Devbhumi Dwarka,Dwarka,22.24583,68.95833,7.92,2590,1735,370,0,366,518,200,72.0,0.11,300,56,56,378,34.0,18,8.54
176,Devbhumi Dwarka,Juvanpur,22.17083,69.36667,8.16,3612,2420,901,0,268,922,205,73.0,0.11,220,96,161,450,8.9,45,6.52
177,Devbhumi Dwarka,Kajuda,22.33333,69.70833,8.18,886,594,290,0,354,92,50,9.4,0.22,290,44,44,92,0.1,58,2.35
178,Devbhumi Dwarka,Kalyanpur,22.01667,69.39167,7.9,965,647,250,0,281,142,53,18.5,0.17,230,44,34,118,0.8,44,3.24
179,Devbhumi Dwarka,Khirsara,21.97917,69.6,7.92,1677,1124,671,0,256,347,102,63.2,0.14,210,168,61,102,1.5,40,1.71
180,Devbhumi Dwarka,Kuvadia,22.20139,69.58333,8.23,796,533,270,0,268,113,34,32.0,0.24,220,72,22,78,0.7,33,2.06
181,Devbhumi Dwarka,Modpar,21.85833,69.80833,7.89,1618,1084,320,0,195,383,72,54.0,0.45,160,88,24,242,3.3,80,5.88
182,Devbhumi Dwarka,Mojap,22.36667,68.98333,7.99,4362,2923,711,0,366,1149,210,24.0,0.69,300,92,117,706,4.9,21,11.52
183,Devbhumi Dwarka,Pindara1,22.24722,69.25833,7.95,860,576,270,0,195,142,91,1.9,0.57,160,76,19,90,8.9,9,2.38
184,Devbhumi Dwarka,Raval,21.99306,69.24583,7.69,2928,1962,1001,0,85,879,102,85.0,0.33,70,337,39,199,1.5,27,2.74
185,Devbhumi Dwarka,Salaya,22.30556,69.60417,8.0,1156,775,400,0,232,191,51,152.0,0.26,190,76,51,109,1.1,65,2.37
186,Devbhumi Dwarka,Samrasar1,22.375,69.10417,8.0,1829,1225,440,0,244,390,129,25.0,0.5,200,80,58,228,3.0,7,4.73
187,Devbhumi Dwarka,Vadtara,22.20833,69.5,8.29,416,279,160,0,146,50,22,2.71,0.29,120,36,17,28,2.21,20,0.96
188,Devbhumi Dwarka,Varwada,22.29167,68.96667,7.97,5892,3948,1341,0,195,1900,257,18.7,0.38,160,289,151,870,7.36,17,10.33
189,Devbhumi Dwarka,Vinjhalpur,22.15,69.6,8.28,838,561,280,0,317,99,45,20.8,0.2,260,32,49,84,1.24,44,2.18
190,Devbhumi Dwarka,Hambusar,22.4081,69.0543,8.14,1140,764,220,0,476,113,54,0.99,0.23,390,44,27,175,23.0,29,5.13
191,Devbhumi Dwarka,Vamansa,22.08400,69.18870,7.80,6028,4039,1281,0,146,1758,384,113.00,1.48,120,124,236,811,6.33,28,9.86
