64,Banaskantha,Jorapura,,7.9,,,1277,,856,0,,268,,,220,,,38.0,,108.0,,0.7,,220.0,,20.0,,,46.0,,,490.0,,,87.0,,,1.0,,,1.71
65,Banaskantha,Sodapur,,7.6,,,1160,,777,0,,366,,,156,,,19.0,,75.0,,1.3,,300.0,,52.0,,,22.0,,,220.0,,,184.0,,,2.0,,0.0,5.39
66,Banaskantha,Meda,8.08,960.0,643.0,0.0,281,106.0,60,88,0.17,230,92.0,34.0,370,70.0,2.9,,1.58,,,,,,,,,,,,,,,,,,,,,,
67,Banaskantha,Palanpur2,,8.2,,,1308,,876,0,,464,,,170,,,75.0,,37.0,,0.6,,380.0,,28.0,,,27.0,,,180.0,,,250.0,,,0.0,,0.0,8.1
68,Banaskantha,Bharol1,,8.1,,,517,,346,0,,207,,,35,,,,,30.0,,0.1,,170.0,,44.0,,,22.0,,,200.0,,,12.0,,,42.0,,0.0,0.37
69,Banaskantha,Khoda,,8.0,,,3287,,2202,0,,634,,,674,,,90.0,,112.0,,4.2,,520.0,,40.0,,,60.0,,,600.0,,,498.0,,,26.0,,,8.84
70,Banaskantha,Dantiwada 1,7.96,624.0,418.0,0.0,244,57.0,34,26,0.5,200,84.0,14.0,270,31.0,1.0,,0.82,,,,,,,,,,,,,,,,,,,,,,
71,Bharuch,Roja tankaria,,7.7,,,1488,,997,0,,439,,,227,,,,,24.0,,0.0,,360.0,,76.0,,,34.0,,,330.0,,,175.0,,,35.0,,0.22,4.19
72,Bharuch,Juna borbhata,,8.2,,,1460,,978,0,,476,,,213,,,13.0,,73.0,,0.1,,390.0,,48.0,,,77.0,,,440.0,,,157.0,,,45.0,,,3.25
73,Bharuch,Motwan,,8.1,,,1670,,1119,0,,476,,,298,,,,,56.0,,0.4,,390.0,,48.0,,,50.0,,,330.0,,,253.0,,,8.0,,,6.06
74,Bharuch,Mulad,,8.0,,,2357,,1579,0,,598,,,418,,,18.0,,118.0,,0.3,,490.0,,44.0,,,70.0,,,400.0,,,380.0,,,1.0,,,8.26
75,Bharuch,Panoli,,7.8,,,5000,,3350,0,,622,,,347,,,55.0,,107.0,,1.0,,510.0,,16.0,,,214.0,,,1180.0,,,650.0,,,3.0,,,8.23
76,Bharuch,Sajod,,8.1,,,2160,,1447,0,,891,,,269,,,12.0,,6.0,,2.1,,730.0,,28.0,,,26.0,,,180.0,,,440.0,,,3.0,,,14.26
77,Bharuch,Bharuch,7.8,2960.0,1983.0,0.0,634,631.0,8,72,0.15,520,100.0,137.0,820,314.0,2.4,0.0,4.77,,,,,,,,,,,,,,,,,,,,,,
78,Bharuch,Kaswa,,8.0,,,526,,352,0,,232,,,50,,,,,18.0,,0.1,,190.0,,48.0,,,14.0,,,180.0,,,47.0,,,12.0,,,1.52
